-2.862223545484419464e-03,1.865383142973980191e-08,7.897331641517341128e-01,1.789508187234237620e-10,-2.499699712581874081e-02,-7.473945418173145904e-08,9.996875262474201884e-01,3.000056409283196474e-02,-1.007649294313739925e-05,2.141451841076415351e-06,4.999965513280262702e-02,-3.000101706436123644e-02,1.029635221688263765e-05,3.000045103647983741e-02,1.008056988483491626e-05,-1.837644190519344476e-06,4.999977901778536460e-02,-3.000102788992618785e-02,-1.024970303497404563e-05,-6.202968715602726703e-10,6.044634173507687970e-15,-1.311628538881730189e-14,4.979999472742425159e-01,2.999999999999993228e-01,3.655207328529418295e-16,5.010000112981148890e-01,1.273449895273231277e-18,1.045914448257287198e-16,2.705754225173851006e-17,4.979999479596501910e-01,-3.000000000000030975e-01,-8.008608748973628868e-16,5.010000099335686352e-01,-1.141320218807361267e-18,-4.705172023572384737e-17,-6.571793951766607376e-17
-2.855354259702907235e-03,2.184539080794580814e-04,7.888124347181139084e-01,-8.651361766385303733e-04,-2.426698626295277494e-02,1.987932313408849309e-04,9.997051192218436855e-01,2.802550032844172700e-02,1.924170306708156706e-03,3.715566621634341232e-03,4.891809928267726315e-02,-2.838246749086412168e-02,-1.009464833147006527e-03,2.959851510245616740e-02,1.832127918656392945e-03,-2.056896010244126625e-03,4.685114025334376209e-02,-2.742937625980803110e-02,-2.072833454760481876e-04,-7.162166065935480575e-04,3.181059392207277476e-03,-8.511460428658122442e-04,5.023490119498206230e-01,3.003345904076934469e-01,-1.979222163762673226e-03,4.946592196642400907e-01,6.037397161847383315e-02,-8.310107276560005319e-04,-5.796635309875564079e-03,4.988526017568388760e-01,-3.000455502847315659e-01,-5.867937250226750064e-03,4.990611318874084157e-01,-6.141699174700020886e-02,-3.257786063876582771e-03,2.843573013305469421e-03
-2.919292683580222789e-03,5.793069786826241180e-04,7.871807720266895680e-01,-2.128632256417228256e-03,-2.315276132220270636e-02,3.676182767245994012e-04,9.997296051556523455e-01,2.508062998896469845e-02,4.411772983401254962e-03,6.218335254755760072e-03,4.840047405103637540e-02,-3.128371364169513225e-02,-2.949629758921689434e-03,2.893644660529235552e-02,4.415518678377430839e-03,-4.790463200014511910e-03,4.238221475908084124e-02,-2.735368541069589654e-02,-1.257916468997728222e-03,-1.205997026467293953e-03,8.218856358553211505e-03,-1.464073016910389519e-03,5.086295946465757556e-01,3.004428858141944270e-01,-4.699477853778741797e-03,4.854381747485357890e-01,1.494730389557222816e-01,-2.688912558130859137e-03,-1.455559402365746297e-02,5.008488679670354271e-01,-3.008099820256151524e-01,-1.427847552783655105e-02,4.944159403707308331e-01,-1.524355690695637089e-01,-8.829974521897864317e-03,7.881578415625454387e-03
-3.051840213315516401e-03,6.264661279235335303e-04,7.855380349359870618e-01,-1.973584347148747264e-03,-2.253062257253096029e-02,-2.925522701635520253e-04,9.997441624858272036e-01,2.376366039647303044e-02,3.951730831138126725e-03,6.762899662516840167e-03,4.776584610389726648e-02,-3.306644043160190255e-02,-3.938113543268222105e-03,2.750804260064611262e-02,3.825063931456397330e-03,-7.116214966385897567e-03,4.102052905087148760e-02,-2.554935086708847586e-02,-2.832259805098638963e-03,6.239512050387832371e-04,8.328499259194193510e-03,-1.142359017662607397e-03,5.143344794402371356e-01,2.977984724407267136e-01,-1.225902340646915258e-03,4.857875588169517367e-01,2.403108631982078247e-01,-1.499665729556566227e-02,-2.703827545440835173e-02,4.991019123289425763e-01,-2.955879322134246645e-01,-2.738294972464055260e-02,4.982981144460315592e-01,-2.407351842580940926e-01,-1.771204819280398218e-02,1.742765732894230313e-02
-3.254115225367499968e-03,5.247724061167623535e-04,7.844472490630676198e-01,-8.592967672055200953e-04,-2.223877667079187520e-02,-1.051715363016792566e-03,9.997517653478025235e-01,2.304192776289200675e-02,1.632647062636994207e-03,7.987397463434412620e-03,4.749895768491510517e-02,-3.364258039540540812e-02,-4.762729819309231838e-03,2.627351183804110465e-02,1.125326351480945754e-03,-8.591520370081177568e-03,4.104670327586854017e-02,-2.671749320268732020e-02,-3.449351014808636762e-03,3.715791193715054820e-03,5.230189623760834322e-03,-1.638788663947867569e-04,5.189135785763017150e-01,2.927502171304509071e-01,5.299193218662873184e-03,4.928603747395289281e-01,3.321816132161472535e-01,-3.179850966458175332e-02,-4.029416318134376729e-02,4.945963327141855714e-01,-2.866028911012010183e-01,-4.250759915379237475e-02,5.084604298962875912e-01,-3.279842338075262265e-01,-2.814057149743715014e-02,2.888097354728099211e-02
-3.541048780253363854e-03,4.821337676019634777e-04,7.840157156433807950e-01,3.549745283412737598e-04,-2.184751840676131193e-02,-1.285611598680123577e-03,9.997604248695624030e-01,2.123217549705499335e-02,-1.131196903570843692e-03,8.699896349944507765e-03,4.833848276097654079e-02,-3.307032583404945214e-02,-5.171266777500595907e-03,2.528675360612703954e-02,-1.978727615647339535e-03,-9.628986105230327025e-03,4.019687492733418910e-02,-2.720181180041238156e-02,-2.584201981571058321e-03,7.024432364877331199e-03,1.557043964936338874e-03,7.625752824879237146e-04,5.215463539098679213e-01,2.871371396159204115e-01,1.200097339398612309e-02,5.017194567260354621e-01,4.164455015389906811e-01,-4.677642524238920935e-02,-5.174932121577748706e-02,4.907915702468590990e-01,-2.775649235319965213e-01,-5.554180939178315901e-02,5.183801063982726998e-01,-4.182994942395364402e-01,-3.779279171655667430e-02,3.882398037337160546e-02
-3.890494664267051938e-03,5.829390365605381088e-04,7.840641511541265318e-01,1.153196635398647104e-03,-2.130570743860842400e-02,-1.093194191154689974e-03,9.997717448970645515e-01,1.855805438454799505e-02,-3.190901022895914225e-03,9.041825860883612523e-03,4.967402573510670133e-02,-3.151981095728897259e-02,-5.064289058621522163e-03,2.420524141507865781e-02,-4.448162802512738850e-03,-1.120041388392759366e-02,3.885090260953015517e-02,-2.662053486855354284e-02,-1.471348583184220677e-03,1.094915994074612334e-02,-1.150526315157672334e-03,1.584809632419046993e-03,5.234221466881161522e-01,2.803251031981456864e-01,1.851018573177079518e-02,5.105789258113609952e-01,4.974802949503067673e-01,-6.066436671747133663e-02,-6.230936391353002896e-02,4.881957795334224137e-01,-2.688861659953442063e-01,-6.757690758463250069e-02,5.272808220378482069e-01,-5.098928191823511868e-01,-4.667711096326843112e-02,4.831151124093671645e-02
-4.364259275672481043e-03,7.854685193627703420e-04,7.843990225788667336e-01,1.452784854724726476e-03,-2.071624234951676552e-02,-7.159482609039746369e-04,9.997840837586733365e-01,1.570406620035487422e-02,-4.052625997626737968e-03,1.028638186355042804e-02,5.052545366575427604e-02,-2.890112552720279504e-02,-4.692643075491681297e-03,2.289561687329132178e-02,-6.513390187275003643e-03,-1.504916691098502103e-02,3.763325506453722713e-02,-2.681108617393547500e-02,-6.515476298175944952e-04,1.599129328836449912e-02,-2.792403834827741384e-03,2.941504643181025967e-03,5.238836263065295151e-01,2.717835271871400504e-01,2.625865824331779716e-02,5.168808254528698409e-01,5.794995383074608153e-01,-7.306982400611025663e-02,-7.409017127097994315e-02,4.867221315843448526e-01,-2.600279818880490978e-01,-7.974760626241611527e-02,5.344527322035946826e-01,-6.019554974100085332e-01,-5.517151830960160402e-02,5.859018070506034903e-02
-4.888657289096374689e-03,1.041056499034745658e-03,7.848092007926600333e-01,1.270586725264778987e-03,-2.000617252603967972e-02,-2.745876839420670085e-04,9.997990114377169890e-01,1.264276585697849536e-02,-3.846993310312037291e-03,1.129084247465404235e-02,5.106758969772318135e-02,-2.627312062790454483e-02,-4.291570147785947302e-03,2.127834206348807808e-02,-7.806468822481382047e-03,-1.993019505681609474e-02,3.645705653404637814e-02,-2.735930384175330743e-02,1.073020697227540293e-04,2.163296035999942926e-02,-3.434476294558183509e-03,4.420483692247150452e-03,5.244759974385801993e-01,2.621701887799982589e-01,3.437088479910958144e-02,5.203280480440098943e-01,6.618853780941735820e-01,-8.511160126523947822e-02,-8.644477308447809372e-02,4.866938295426120331e-01,-2.514134771052745077e-01,-9.178639797986341831e-02,5.390903657558113737e-01,-6.942954597640170755e-01,-6.363773793122809441e-02,6.948001194476036146e-02
-5.267735191391407883e-03,1.292699557426189860e-03,7.851607689593607109e-01,6.470071107364845512e-04,-1.939580597458081049e-02,-1.958660094516308280e-05,9.998116741210618663e-01,1.022971546444004752e-02,-2.454944716558612929e-03,1.249923935546665317e-02,5.155436715801915704e-02,-2.486654871877416739e-02,-4.299112229980657680e-03,1.990002369064196308e-02,-7.843126040813301267e-03,-2.401030390408007489e-02,3.554560713147655870e-02,-2.763821679086905445e-02,1.024849243434408901e-03,2.669541491167758476e-02,-2.872958106867147619e-03,4.996710930889790292e-03,5.269796221055643715e-01,2.513908576155767793e-01,4.331359592846634188e-02,5.209725633445411175e-01,7.404777447831888404e-01,-9.696189592772423704e-02,-9.758488660830760830e-02,4.881745913627138500e-01,-2.411672440202908552e-01,-1.052916927409219688e-01,5.411338507095020400e-01,-7.833082124084020936e-01,-7.212578624114542036e-02,7.999248416397629347e-02
